[rosmaster.main][INFO] 2017-08-17 07:20:28,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-08-17 07:20:28,394: Starting ROS Master Node
[rosmaster.master][INFO] 2017-08-17 07:20:29,253: +PUB [/diagnostics] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,275: +SERVICE [/set_camera_info] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:29,318: +PARAM [/raspicam_node/width] by /raspicam_node
[rosmaster.master][INFO] 2017-08-17 07:20:29,333: +PUB [/mavlink/to] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:29,340: +PARAM [/raspicam_node/height] by /raspicam_node
[rosmaster.master][INFO] 2017-08-17 07:20:29,360: +PUB [/mavlink/to] /gcs_bridge_serial http://erle-brain-3:40076/
[rosmaster.master][INFO] 2017-08-17 07:20:29,429: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:20:29,437: +PARAM [/raspicam_node/tf_prefix] by /raspicam_node
[rosmaster.master][INFO] 2017-08-17 07:20:29,446: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-08-17 07:20:29,472: +SUB [/mavlink/from] /gcs_bridge_serial2 http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:29,535: +SERVICE [/rosout/get_loggers] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:29,539: +SUB [/tf] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,545: +SERVICE [/rosout/set_logger_level] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:29,558: +PUB [/camera/image/compressed] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:29,572: +PUB [/rosout_agg] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:29,577: +PUB [/camera/camera_info] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:29,588: +SERVICE [/camera/start_capture] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:29,601: +SERVICE [/camera/stop_capture] /raspicam_node http://erle-brain-3:33251/
[rosmaster.master][INFO] 2017-08-17 07:20:29,605: +SUB [/tf_static] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,623: +SUB [/rosout] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:29,633: +PUB [/tf] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,714: publisherUpdate[/tf] -> http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,752: +PUB [/mavlink/from] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,779: +SUB [/mavlink/to] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:29,815: publisherUpdate[/mavlink/from] -> http://erle-brain-3:37643/
[rosmaster.master][INFO] 2017-08-17 07:20:30,493: +PUB [/mavros/radio_status] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,533: +SUB [/mavros/actuator_control] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,547: +PUB [/mavros/altitude] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,908: +PUB [/mavros/cam_imu_sync/cam_imu_stamp] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,925: +SERVICE [/mavros/cmd/command] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,937: +SERVICE [/mavros/cmd/command_int] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,951: +SERVICE [/mavros/cmd/arming] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,959: +SERVICE [/mavros/cmd/set_home] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,967: +SERVICE [/mavros/cmd/takeoff] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,973: +SERVICE [/mavros/cmd/land] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:30,981: +SERVICE [/mavros/cmd/trigger_control] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,008: +SERVICE [/mavros/ftp/list] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,016: +SERVICE [/mavros/ftp/open] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,022: +SERVICE [/mavros/ftp/close] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,031: +SERVICE [/mavros/ftp/read] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,039: +SERVICE [/mavros/ftp/write] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,047: +SERVICE [/mavros/ftp/mkdir] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,055: +SERVICE [/mavros/ftp/rmdir] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,062: +SERVICE [/mavros/ftp/remove] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,072: +SERVICE [/mavros/ftp/truncate] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,081: +SERVICE [/mavros/ftp/reset] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,089: +SERVICE [/mavros/ftp/rename] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,098: +SERVICE [/mavros/ftp/checksum] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,136: +PUB [/mavros/global_position/raw/fix] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,143: +PUB [/mavros/global_position/raw/gps_vel] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,149: +PUB [/mavros/global_position/global] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,156: +PUB [/mavros/global_position/local] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,162: +PUB [/mavros/global_position/rel_alt] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,167: +PUB [/mavros/global_position/compass_hdg] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,175: +PUB [/mavros/hil_actuator_controls] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,184: +PUB [/mavros/hil_controls/hil_controls] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,213: +PUB [/mavros/imu/data] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,218: +PUB [/mavros/imu/mag] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,224: +PUB [/mavros/imu/temperature] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,230: +PUB [/mavros/imu/atm_pressure] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,235: +PUB [/mavros/imu/data_raw] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,280: +PUB [/mavros/local_position/pose] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,288: +PUB [/mavros/local_position/velocity] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,294: +PUB [/mavros/local_position/odom] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,305: +PUB [/mavros/manual_control/control] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,350: +SUB [/mavros/fake_gps/fix] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,397: +SUB [/mavros/mocap/pose] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,408: +SERVICE [/mavros/param/pull] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,415: +SERVICE [/mavros/param/push] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,422: +SERVICE [/mavros/param/set] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,432: +SERVICE [/mavros/param/get] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,464: +PUB [/mavros/px4flow/raw/optical_flow_rad] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,471: +PUB [/mavros/px4flow/ground_distance] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,479: +PUB [/mavros/px4flow/temperature] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,491: +PUB [/mavros/rc/in] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,497: +PUB [/mavros/rc/out] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,538: +SUB [/mavros/rc/override] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,602: +SUB [/mavros/safety_area/set] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,645: +SUB [/mavros/setpoint_accel/accel] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,691: +SUB [/mavros/setpoint_attitude/cmd_vel] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,716: +SUB [/mavros/setpoint_attitude/attitude] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,742: +SUB [/mavros/setpoint_attitude/att_throttle] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,785: +SUB [/mavros/setpoint_position/local] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,816: +SUB [/mavros/setpoint_raw/local] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,840: +SUB [/mavros/setpoint_raw/global] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,865: +SUB [/mavros/setpoint_raw/attitude] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,872: +PUB [/mavros/setpoint_raw/target_local] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,880: +PUB [/mavros/setpoint_raw/target_global] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,888: +PUB [/mavros/setpoint_raw/target_attitude] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:31,940: +SUB [/mavros/setpoint_velocity/cmd_vel] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,771: +PUB [/mavros/state] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,777: +PUB [/mavros/extended_state] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,784: +PUB [/mavros/battery] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,792: +SERVICE [/mavros/set_stream_rate] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,803: +SERVICE [/mavros/set_mode] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,835: +PUB [/mavros/time_reference] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,845: +PUB [/mavros/vfr_hud] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,852: +PUB [/mavros/wind_estimation] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,873: +PUB [/mavros/vibration/raw/vibration] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,933: +SUB [/mavros/vision_pose/pose] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,961: +SUB [/mavros/vision_pose/pose_cov] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:32,992: +SUB [/mavros/vision_speed/speed_vector] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:33,007: +PUB [/mavros/mission/waypoints] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:33,012: +SERVICE [/mavros/mission/pull] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:33,018: +SERVICE [/mavros/mission/push] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:33,024: +SERVICE [/mavros/mission/clear] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:33,030: +SERVICE [/mavros/mission/set_current] /mavros http://erle-brain-3:34806/
[rosmaster.master][INFO] 2017-08-17 07:20:38,974: -PUB [/rosout_agg] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:38,979: -SUB [/rosout] /rosout http://erle-brain-3:35598/
[rosmaster.master][INFO] 2017-08-17 07:20:38,984: -SERVICE [/rosout/get_loggers] /rosout rosrpc://erle-brain-3:43824
[rosmaster.master][INFO] 2017-08-17 07:20:38,989: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://erle-brain-3:43824
[rosmaster.main][INFO] 2017-08-17 07:20:39,476: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-08-17 07:20:39,477: stopping master...
[rospy.core][INFO] 2017-08-17 07:20:39,477: signal_shutdown [atexit]
